açıkça söyle!  -- say it frankly!
biz devam etmek zorundayız!  -- we have to continue!
bize katılmalısın.  -- you should join us.
biz güvendeyiz.  -- we're safe.
bizim de öyle  -- so do we
boş verelim burayı  -- let's leave this here
boş zamanlarında ne yapıyorsun?  -- what do you do in your free time?
böyle bir şey nasıl oldu?  -- how did such a thing come about?
bu akşam sex yapmak isteyen yazsin  -- if you want to have sex tonight, write.
bu benim çok iyi bir arkadaşım.  -- this is a very good friend of mine.
bu bir evet ya da hayır sorusuydu.  -- it was a yes or no question.
bu bir ya ya da konusu.  -- it's a matter of either/or.
bu bulaşıcı.  -- this is contagious.
bu büyük olacak.  -- this will be huge.
bu doğru istasyon.  -- this is the right station.
bu elmayı yemek zorunda değilsin.  -- you do not have to eat this apple.
bu ferahlatıcı.  -- it's refreshing.
bugün temiz t-shirt giydim  -- today I wore a clean t-shirt
bu, güzel bir soru.  -- that's a good question.
bu iyi bir zaman değil mi?  -- is this not a good time?
bu kimin görevi?  -- whose duty is this?
bu konuda konuşurken dikkatli olmalısın.  -- you must be careful when talking about this subject.
bu ne anlamadım  -- i didn't understand what this is?
bunu bir daha sorma  -- do not ask again  (tech)
bunu daha sonra öğrenelim  -- let's learn this another time
bunu kim yapardı?  -- who used to do this?
bunu nasıl öğrendi?  -- how did she fined out about that?
bunun burada olduğunu unuttum.  -- i forgot that this was here.
bunun için özür dilerim  -- i apologize for that
bunu yapabiliriz!  -- we can do this!
bunu yaptığımdan dolayı çok pişmanım  -- i am sorry for what i have done
bu onun, değil mi?  -- it's his, isn't it?
bu öyle bir şey değil.  -- it's nothing like that.
burada ağlayamazsın!  -- you cannot cry here!
burada eğlendim.  -- i had fun here.
buradaki hiçbir şey benim değil.  -- nothing here is mine.
burada ne demek istediğini anlamadım  -- i don't understand what you mean here
buraya gelmemeliydin.  -- you shouldn't have come here.
bu sene benim üniversitedeki son senem  -- this year is my last year at university
bu tom'dandır.  -- this is from tom.
bu ücretsiz.  -- this one is free.
buyrun hoşgeldiniz  -- here you are welcome
çabuk hazırlanabilir misin? -- can you get ready quickly?
cevabı hatırlayamadın.  -- i cannot remember the answer.
cevap verir misin?  -- will you answer?
çocuk bahçede oynarken yaralandı.  -- the child was injured while playing in the garden.
çocuklar yüzerken yağmur başladı.  -- the rain started while the children were swimming.
çok güzelmiş  -- response to i'm a software engineer
çok hoştu.  -- it was very nice.
çok şanslısın.  -- you're very lucky.
cumartesi günleri genellikle ne yapıyorsun?  -- what do you usually do on saturdays?
daha ne kadar  -- how much longer
daha sonra bana hatırlat.  -- remind me later.
daha sonra halloldu.  -- it's settled then.
dayanabilirim.  -- i can endure it.
değişiklik iyidir  -- change is good
denemek ister misiniz?  -- do you want to try?
dene ve sus.  -- try and calm down.
deneyebilir miyim?  -- may I try it?
denk geliriz belki  -- maybe we'll run into each other
devam etmelisin.  -- you must continue.
devlet önemlidir.  -- the state is important.
dikkatli olmalısın  -- you must be careful	__ ateş yakarsan dikkatli olmalısın.
dilediğiniz zaman  -- whenever you want
dişim çok ağrıyor, dayanamiyorum.  -- my tooth hurts a lot; i cannot stand it.
doğum gününde genellikle ne yapasın?  -- what do you generally do on your birthday?
doğum günün ne zaman?  -- when is your birthday?
dolaşırken onu gördüm.  -- i saw her while walking around.
duo beni severdi.  -- duo used to love me.
eğer zamanın varsa  -- if you have the time
eline sağlık  -- thx you for feed, bathg me [response to making food]	__ batuhan eline sağlık yemek güzel.
elin temiz mi kirli mi?  -- is your hand clean or dirty?
endişeli olduğunu biliyorum.  -- i know you're worried.
en sevdiğin içecek ne?  -- what's your favorite drink?
en sevdiğin yemek ne?  -- what's your favorite food?
et yemem  -- vegetarian, i do not eat meat
evdeyim bir saat oldu eve geldim  -- i'm at home; it's been an hour since I came home
evet, bence de öyle  -- yes i think so too
evet olmaz mı  -- why not?
fark etmez  -- it doesn't matter; it's all the same
favori ayın hangisi? neden?  -- what's your favorite month? why?
favori günün hangisi? neden?  -- what's your favorite day? why?
favori sporun nedir?  -- what's your favorite sport?
fena değil  -- not bad
geçebilir miyim, lütfen?  -- could I get by, please?
geçebilir miyim?  -- would you excuse me?
gecen hayra galsın  -- have a great night
geç gelebilirim.  -- i may come late.
gelebilirdik.  -- we could have come.
gel olanları unutalım  -- come let us forget what happened
gençlere, genç görünümlü kişilere, cd ve feminenlere ilgi duymuyorum!  -- not attracted to young people, young-looking, cds and feminine
gerçekten onu istiyorum.  -- i really want it.
gerçekten üzgünüm.  -- i'm truly sorry.
gezip eglenelim  -- let's sightsee and have fun
gider gitmez  -- as soon as she left
giderken hoşça kal dedim.  -- i said goodbye while i was leaving.
görüşelim mi?  -- shall we meet?
görüşmek üzere  -- see you later
gülecek bir şey yok.  -- it's not laughing matter.
gunduz sohbette, aksam yemekte, gece yatakta guzel zamanlar  -- chat days, eat eves, nights in bed = good times
günlük konuşmalarda  -- in everyday conversation
gün yeni başlıyor.  -- the day is just beginning.
güzel fikir, hadi gidelim  -- good idea, let's go
hadi içelim.  -- let's drink.
hadi oradan!  -- get out of there!
haftada iki ya da üç gün  -- two or three days a week
hayır diyeceğim.  -- i'm going to say no.
herkesi kurtaramazsın.  -- you cannot save everyone.
her şey aynı.  -- everthing's the same.
her şey karardı.  -- everthing went dark.
her şey nasıl?  -- how is everything
her şey normal.  -- everthing's normal.
her şey satıldı.  -- everything's sold out.
hesabı alabilir miyim?  -- check, please
hey, sana bir şey söyleyeyim.  -- hey, let me tell you something.
hey, sana yardım edeyim.  -- hey, let me help you.
hiç duymadım  -- i've never heard of it.
hiç görmedim  -- i've never seen it.
hic kamp yapmadim  -- i have never been camping
içime gircen mi?  -- will you come/get inside me?
ile konuşabilir miyim?  -- could I speak to?
ilgin için teşekkürler.  -- thanks for your interest.
ilk defa gördüm ve duydum  -- first i have seen or heard of it
iş için Ankara'dayken birçok yeri geziyorum.  -- while in Ankara on business, I am visiting a lot of places.
işini seviyor musun? neden?  -- do you like your work? why?
işsizken çok kilo aldım.  -- i gained a lot of weight while i was unemloyed.
işsizken zaman yavaş geçiyor.  -- while unemployed, time passes slowly.
istanbulda küçük fincan gördüm  -- i saw small cup in istanbul
işte misin?  -- are you at work?
ister istemez  -- want to or not, willy-nilly
iyi bir sonuç alamadım  -- i could not get a good result
iyi ki varsın soruyorsun ben  -- 'm glad you're asking about me
iyi misin, tom?  -- are you okay, Tom?
iyiyim teşekkür ederim umarım sen de iyisindir  -- i'm fine thank you; i hope you are fine too
kaçabilirdin.  -- You could have run away.
kaç yaşındasın?  -- how old are you?
kapıya sen bakabilir misin?  -- can you answer the door?
kardeşlerin var mı?  -- do you have siblings?
kendi dünyasındadır  -- in one's own world
kendinden biraz anlat  -- tell a little about yourself
kendine iyi bak  -- take care
kendine yüklenme  -- don't worry burden yourself
kendini bugün nasıl hissediyorsun?  -- how do you feel today?
kesilmedim  -- i am uncut
keşke burada olsaydın  -- i wish you were here
kirlinin karşıtı nedir  -- what is the opposite of clean?
kışın kar yağıyor  -- it's snowing in winter
kolay gelsin  -- take it easy
konu ne?  -- what's the matter?
konuşabildim.  -- I could talk.
kovulmanı istiyorum.  -- i want you fired.
kurtulamayacaksın.  -- you will not be able to escape.
madde kullanan müptezeller  -- substance abusers, drug abusers
memnun mu?  -- is she satisfied?
meşgul gibi görünmüyorsun.  -- it doewn't look like you're busy.
misafirler için kahve yapmalıyım.  -- i must make coffee for the guests.
muhtemelen o doğru değil.  -- that's probably not true.
mümkün olabilir  -- might be possible [to do sth]
mümkün olduğunca uzun süre oturun  -- sit as long as possible
nasıl oldu, beğendiniz mi?  -- how was it, did you like it?
neden beni seçtin?  -- why did you pick me?
neden burada yalnızsın?  -- why are you here alone?
neden sen de gelmiyorsun.  -- why don't you come too?
ne diyeyim ki  -- what can i say?
ne düşünüyorsun?  -- what do you think?
ne haliniz varsa  -- what's your situation? whatever
ne istediğini bilen  -- know what you want
ne iş yapıyorsun?  -- what work do you do?
ne olmasını isterdiniz?  -- what would you like it to be?	__ bir özel yeteneğiniz olsa ne olmasını isterdiniz?
nerden bileyim  -- how should i know?
nerede yaşıyorsun?  -- where do you live?
nereleri gezmeyi planliyorsun?  -- what places you planning to see?
nerelisin?  -- where are you from?
ne siklikla yapıyorsun?  -- how often do you do it?
ne tarz müzik dinliyorsun?  -- what kind of music do you listen to?
net söyle!  -- say it clearly!
ne var ne yok, kardeş?  -- what's up brother?
neye yarıyor? faydaları neler?  -- what is it for? what are the benefits?
ne zaman müsait olduğun zaman  -- whenever you are available
ne zaman vardın?  -- when did you arrive?
o adamla beraber değilken daha mutluyuz.  -- we are happier when we are not together with that man.
o bir hüsrandı.  -- that was a disappointment.
o gün ne oldu?  -- what happened that day?
o kim acaba?  -- i wonder who she is?
okullar tatil olduğu için  -- for school holidays
olan bir kazaydı.  -- what happened was an accident.
olan oldu.  -- it happened.
olgun cd feminen sanal ruh hastasi yalanci uymaz  -- older, cd, fem, imaginery, pyschopath, liars don't respond
olur öyle.  -- well it happens.
ona hala gülebilirim.  -- i can still laugh at that.
ona ne olacak?  -- what will happen to her?
önce sen.  -- you first.
önce tom buradaydı.  -- tom was here first.
öne çıkan bilgiler  -- featured information
o ne kadar güvenli?  -- how safe is that?
önemsemiyorsun, değil mi?  -- you don't mind, do you?
önerin ne?  -- what is your suggestion?
o ne yapmayı severdi?  -- what did he used to like doing?
onu benin için tut.  -- hold that for me.
onu bunu boşver  -- never mind that
onu demek istiyorum.  -- i meant it.
onu geri al.  -- take it back.
önümüzdeki hafta için planım buydu  -- i had plans for next week
onun için çok meşgulüz.  -- we are too busy for that.
onunla baş edebilir.  -- he can deal with it.
onunla oynarken dikkatli ol!  -- be careful while you are playing with it!
onun ne olduğunu bana sorma.  -- don't ask me what it was.
onun ne olduğunu ben bile söyleyemiyorum.  -- i caan't even tell what it is.
o, onu yapmamalı.  -- she should not do that.
öpüşme sevişme olmazsa olmazım  -- kissing, making love is a must
o şimdi iyi mi?  -- is that okay now?
o tamam.  -- that one's ok.
o, tom kadar suçludur.  -- she is as guilty as tom.
o, tom'nin boston'da olduğunu bilmeliydi.  -- he should have known that tom was in boston.
öyle bir şey istiyorum.  -- i love something like that.
öyle fakat burası bir başka  -- yes but this is something else
paran var mı?  -- do you have moneyu?
pasta hazırlamalıyım.  -- should prepare cake.
pekala, olan oldu bir kere.  -- all right, what's done is done.
peki ya sen?  -- what about you?
rahat evdesin  -- chilling at home
rahat gibi görünmüyorsun.  -- you don't look comfortable.
sadece bana tutun.  -- just hold me.
sadece bir kez söyle  -- say it just once
sadece erkeklerden hoşlanıyorum  -- i only like men
sadece evli çiftler  -- married couples only
sadece nasıl olduğunu bilmiyordum.  -- i just didn't know how.
sana geri döneceğim  -- i'll get back to you
sana hiç güvenmiyorum.  -- i don't trust you at all.
sana içki alabilir miyim?  -- (can I) buy you a drink?
sana ne diyeyim?  -- what do I call you?
sanırım tom haklı.  -- i think that tom is right.
sanırım tom iyi yaptı.  -- i think tom did well.
şehir dışındaydım  -- i was out of town
sen benim için tek kişidir.  -- you are the only person for me.
sen bunu al.  -- you take this one.
sen bunu bana kendin dedin  -- you told this to me yourself
sen çok akıllısın.  -- you're very smart.
sen en iyisisin.  -- you're the best.
sen hiç birine aşık oldun mu?  -- have you ever fallen in love with anyone?
sen hiç merak etme  -- do not worry
seni bu gece çok rahatsız ettim kusura bakma  -- sorry for bothering you tonight
seni görebiliyorum.  -- i can see you.
seni hatırlayamadım.  -- i could not remember you.
senin içinde uygunsa  -- if it is okay with you
seninle konuşamam.  -- i cannot talk to you.
seninle tanıştığıma sevindim  -- i am glad to have met you
seni önemsiyorum.  -- i care about you.
seni seviyorum Ayşe, gidemem!  -- i love you ayşe, i cannot go!
sen kabasın.  -- you're rude.
sen nasıl istersen  -- whatever you want
sen neler yaptin?  -- what have you done?	__ son birkaç günde sen neler yaptın?
sen onu kendin yapmak zorundasın.  -- you have to do it yourself.
sevgilin var mı?  -- do you have a lover?	__ ne yazık ki yok.
sıkıntı yok  -- no problem	__ tamam, sıkıntı yok, ne zaman müsait olduğun zaman.
şimdi karanlık.  -- it's dark now.
şimdi lütfen git.  -- now please go.
şimdi yalnızım.  -- i'm alone now.
şimdi yanımda olsan  -- if you were now next to me
siz konferansa katılmalıydınız.  -- you should have attended the conference.
sorun değil  -- no problem	__ sorun değil benim için.
soyadın ne?  -- what's your surname?
söylediğin çoğu şeyi anladım  -- i understood most of what you said
sunum hazırlamalı.  -- he must prepare a presentation.
suya girmeden önce  -- before entering the water	__ 
tabii, bu da mümkün.  -- of course this is also possible.
takılırız mı?  -- are we hanging out?
tamam canım uykum geliyor yatayım; yarın konuşuruz   -- ok dear i'm getting sleepy, we'll chat tomorrow
tamamdır anlaştık  -- ok agreed
tanışdığımıza sevindim  -- i'm glad to meet you
tatlı menüsünü alabilir miyim lütfen?  -- the dessert menu, please
tatlı rüyalar  -- sweet dreams
tavsiyeniz için teşekkürler.  -- thanks for your advice.
teknik olarak doğrudur  -- is technically correct
telaffuz ettiğini duymak istiyorum  -- i want to listen to your pronunciation
telaffuzunu taklit edirim  -- i mimic your pronunciation
tom 2.30'a kadar geri gelmedi.  -- tom didn't come back until 2:30.
tom'a hayır demek zor.  -- it's hard to say no to tom.
tom bile şimdi daha şaşkın.  -- tom is even more confused now.
tom'un mu?  -- is that tom's?
tom ve mary de odadaydılar.  -- tom and mary were also in the room.
umarım  -- i hope
unut gitsin, tamam mı?  forget about it, ok?
üzüldum  -- i am sorry
x de doğdum ve büyüdüm  -- born and raised in x
ya harır derse?  -- what if he says no?
yalnız hazırlanabilirim.  -- i can get ready on my own.
yanlış kelimeleri kullandım  -- I used the wrong words
yapacak bir şey yok  -- nothing can be done; shikatta ga nai
yapardım.  -- i used to do it.
yardıma ihtiyacım var  -- i need help	__ 
yardımcı olabilecek?  -- can you help?
yardımcı olmamı ister misin?  -- do you want me to help?
yarınki yolculuk için bavulumu hazırlamalıyım.  -- i must prepare my suitcase for tomorrow's trip.
yarın sana bildireceğim  -- i will let you know tomorrow
yasaya göre bu kadın bu çocuğu eve götürmeli.  -- according to the law, this woman must take this child home.
ya sen neler seversin?  -- what things do you like?
yaş fark etmez  -- age does not matter
yazım yanlışlarını düzeltmemi ister misin?  -- do you want me to correct the typos?
yeni bir yasa yolda.  -- a new law is on the way.
yine bekleriz  -- we are waiting for you to come again
yoluma devam ettim  -- i continued on my way
yorma kendini  -- don't tire yourself
ZZZZZZZZZZZZZZZZZZZZZ
sıkıntıdan patlamak  -- be bored shitless
korkudan ödü patlamak  -- piss (oneself)
birine patlamak  -- go off on someone
sert ama adilsin.  -- you are tough but fair.
lütfen onu unut.  -- please forget it.
sonra ne oldu?  -- then what happened?
hadi çıkalım.  -- so let's quit.
eğer bu doğruysa, [x]  -- if that's true, [x]
seninle eğlenmeyi seviyorum.  -- i love having fun with you.
lütfen sadece dinle.  -- please just listen.
öyle değil.  -- it is not so.
ben sadece onu mu söyledim.  -- did i just say that?
biri mavi.  -- one is blue.
bunu nasıl öğrendi?  -- how did she find out about that?
aç değil misin?  -- aren't you hungry?
daha sonra bana hatırlat.  -- remind me later.
güzel başlangıç.  -- beautiful start.
ben bir şey beğenmiyorum.  -- i don't like anything.
sana çarpıldım.  -- i used to have a crush on you.
bu onun görüşü.  -- this is his opinion.
buraya gelmemeliydin.  -- you shouldn't have come here.
üzgünsün, değil mi?  -- you're worried, aren't you?
ne? kim, ben mi?  -- what? who, me?
biz buraya aitiz.  -- we belong here.
anlıyorum, tamam mı?  -- i got it, ok?
n'olacak yani!  -- big deal!
ZZZZZZZZZZZZZZZZZZZZZ-22222
radyon yeni mi?  -- is your radio new?
sana güveniyorum.  -- i am counting on you.
bu tom'unki mi?  -- is this tom's?
seçtin mi?  -- have you chosen?
hiçbir şey doğru değil.  -- nothing feels right.
lütfen beni affet.  -- please forgive me.
tam rayına oturmadı.  -- it didn't fit properly. = things didn't quite work out.
ne hakkında?  -- about what?
bana dağıt.  -- deal me out.
bana hiçbir şey söyleyemezsin.  -- you can't tell me anything.
önemli olan sağladığı hizmet  -- it's what's on the inside that counts.
koşma, düşersin!  -- don’t run, you will fall!
sevme, pişman olursun.  -- do not fall in love, you will regret it.
bi’ dene, beğenirsin.  -- just try it, you will like it.

