>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> aisifuye mvua imemnyea. --	one who praises rain has been rained upon. has benefited by it, or has been refreshed by it. good fortune is praised by those who have experience of it
>> aitikaye hutazama kwanza. --	the one who assents usually will get the first look.
>> ajabu makaa hayakoki nyama. --	it is a surprise why the charcoal did not roast meat. said of people who do not perform as well as they could.
>> ajabu ya kondoo kucheka kioo. --	 how amazing that a sheep mocks its image in a mirror [not knowing that it laughs at its own image]. usage: of someone who is making fun of another, while having the same imperfection or making the same mistake.
>> ajabu ya ngamia kucheka nundu ya ng'ombe. --	 how amazing that a camel derides the cow for its hump. the camel has a bigger hump.
>> ajabu ya shingo kukataa kulala kitandani. --	how amazing, the neck refusing to lie down in bed. said of somebody who refuses something while longing for it
>> ajali haibishi hodi. --	an accident does not ask for permission to enter.
>> ajali haijajiri, heri mbele ufikiri. --	before the accident happens, better think carefully.
>> ajali haikimbiliki. --	there is no escape from fate. death, sickness, good or bad fortune often come without warning.
>> ajali haikingiki. --	fate cannot be warded off. haikingiki or haina kingi, has no shield.
>> ajali haina kinga likufikalo shukuru. --	fate [death] has no prevention; if it comes, give thanks.
>> ajali haina kinga wala kafara. --	there is no prevention or sacrifice of avail against fate. ajali, fate, death.
>> ajali ina sababu. --	an accident has its cause. many accidents can be avoided.
>> ajali muhuli. --	fate is but a respite
>> ajaposhikwa mafungo huenda tena. --	although some get their clothes caught, they go again. after a narrow escape
>> ajaye apige hodi. --	one who comes must call "hodi.". no one is allowed to enter a private house without express invitation. hodi: the word that announces a visitor's presence outside the door. haikujuzu kwingia kwa wengine, it is not fitting for you to enter another's house without their express permission. the invitation is karibu: welcome, come in.
>> ajaye bila ya kadi huondoka pasi na kuaga. --	the one who comes without a card leaves without saying good bye. kadi: a letter of invitation, an i.d.
>> ajaye kisimani mbele hunywa maji maenge. --	the first person coming at the well drinks clean water. those coming afterwards will find muddied water. we should not wait for others to start doing things.
>> ajaye ndiye aondokaye. --	a person arrives and will go away. what comes to you will also go away from you, be it good or evil.
>> ajaye usimchungulie. --	don't scrutinize the person who arrives. 
>> ajengaye siye alalaye. --	the person who builds [a house], is not [necessarily] the one who sleeps in it. that person may die, fall ill or leave the house for other reasons. so if you do a good work or finish a fine project, you will not necessarily profit from it. others may spoil your work out of jealousy.
>> ajialikaye hujichukulia kiti. --	if you invite yourself bring your own chair. behave humbly.
>> ajialikaye mwenyewe ajitafutie kibaba. --	if you invite yourself, you must look for your own stool. kibaba: a container for measuring, volume of about 1 liter or a pint. 
>> ajidhaniye amesimama, aangalie asianguke. --	those who think that they are standing should be careful not to fall down. said of a successful person who is very proud.
>> ajifanyiza chongo, angaona. --	someone pretends to be blind in one eye, although seeing well.
>> ajifunzaye haachi kujua. --	one who studies goes on learning. no learning is a waste of effort
>> ajikunaye ni awashwaye. --	the one who scratches oneself has an itch.
>> ajionaye ajua sana hajui lolote. --	the one who thinks to know a lot, does not know anything.
>> ajizi ni ufunguo wa umaskini. --	sloth is the key to poverty.
>> ajizi nyumba ya njaa. --	indecision is the house of hunger.
>> ajuaye dhambi yake ana moja; asiyeijua yuna dhambi mbili. --	people who know their sin have only one; but those who do not know their sin have two sins. people who pretend never to have sinned, are sinners since they are dishonest
>> ajuaye mengi hasemi mengi. --	one who knows much does not say much.
>> ajuaye mengi husema machache. --	the one who knows much says little.
>> ajuaye misonoe ni alalaye naye. --	one who knows about groaning [of sick people] is the one who sleeps with that person. msono, snoring, groaning, snort; whistling to attract attention or to express derision or contempt.
>> ajuaye ni mungu. --	the one who knows is god. god knows the unspoken secret
>> akaaye karibu na moto huandaliwa mwanzo. --	the one who sits near the fire is served first. one must have friends at court. mwanzo: kwanza, first.
>> akaaye kimya hakosi ujanja wake. --	the one who keeps silent is not without cunning.
>> akamkaanga papa kwa mafuta yake. --	someone fried the shark in its own fat. this proverb is used when somebody is giving some of a person's own medicine, e.g., a judge may tell a drunk who misbehaved while drunk not to drink; or a thief to pay back with his own property. thonya.
>> akataaye kuitwa, hukataa aitiwalo. --	those who reject a call, reject what they are called for. it is never good policy to neglect a summons.
>> akiba haiozi. --	a reserve never goes bad. --	always comes in useful. a person with foresight will know prosperity.
>> akiba si mbaya, mlafi ni mkata. --	reserve is not bad, a glutton is a pauper. mla: an eater, a consumer, one who eats. mlaji: someone addicted to food. mlafi: a glutton, gourmandizer
>> akiba si mbi ingawa ni kumbe, siku ya kivumbi hutia motoni. --	a reserve is not bad, even if it a husk of a coconut, in a day of need put it in the fire.
>> akija asije [kwangu] fauwa. --	whether that person comes or not, it is all the same to me. fauwa, also fahuwa (arabic) or sawa sawa, it is all the same.
>> akikalia kigoda mtii. --	the one who sits on the stool must be obeyed. said of a man invested with authority. kigoda: stool, traditional seat on which a man of respect and authority sits.
>> akilaye ndiye aandikiwaye. --	the one who eats it (i.e., the food) is the one for whom it was destined.
>> akili kubwa-kubwa hufikiri mamoja. --	the great intellects usually think alike.
>> akili ni bora kuliko mali. --	understanding surpasses wealth. also: meditation is a source of wealth, i.e. the treasures of paradise]
>> akili [ni] mali. --	wits are wealth. brains are an asset
>> akili ni nywele, kila mtu ana zake. --	intelligence is [like] hair, every person has his own. no two people are alike in intelligence. it is said as a sign of respect for the opinions of others, but also to express that everybody follows his own opinion.
>> akili nyingi huondoa maarifa. --	too much cleverness drives away wisdom. one who would be too clever makes mistakes. too much self confidence brings along stupidity
>> akili yachotwa katika mkutano. --	ideas are picked up in a meeting [of brains].
>> akili ya mtu ndiyo wazimu wake. --	somebody's wit is also that person's folly. a person's spirit gives rise to the best and the worst
>> akina kuku mtegemeo wao mmoja. --	chickens and their kind use an identical support. they have the same behaviorism like standing on one leg. people of the same rank, country or status can be recognized. mtegemeo: prop, support, also trust.
>> akipaza sauti kakasirika; akibwata kachoka. --	when angry that person shouts, and when tired, complains. a moody person.
>> akipenda chongo huita kengeza. --	a person who loves calls one-eyed a squint. love thinks no evil. love is blind. lovers do not judge mistakes or faults harshly.
>> akipenda chongo huona kengeza. --	if one loves a one-eyed person, that person sees only a squint. chongo : blind in one eye. kengeza : squint or cross-eyed. "a person in love mistakes a pimple for a dimple." japanese proverb.
>> akipewa amependelewa, nikipewa nastahili. --	if somebody else is awarded that person is favored, (but) if i am awarded i have earned it. used when someone is jealous.
>> akipewa amependelewa, nikipewa ninastahili. --	if it is awarded to somebody else, then that person has been favored; but if it is awarded to me, i deserve it. used when someone is jealous.
>> akiruka, usiruke naye; mtege utamnasa. --	when they jump, don't jump with them; set a trap and you will catch them. 
>> akisema mwendawazimu, msikiaji awe na akili. --	when a mad person talks, the listener should have some wits.
>> akishindwa sultani, raia huweza nini? --	when the sultan knows no solution to a problem (lit.,is defeated), what can the citizens do?
>> akitaka kaa, mpe moto. --	if someone wants a piece of [live] charcoal, give that person fire. if someone is looking for a quarrel, give that person 'hell'
>> akomelepo mwenyeji na mgeni koma papo. --	where the host has stopped, there the guest stops also. when the host is convinced about something, the guest stops arguing
>> akosapo mkubwa, mdogo huadhibiwa. --	when a great person blunders, a junior person is punished. a scapegoat.
>> akosaye la mama, atalamwa la mbwaye. --	one that is not suckled by his mother, will have recourse to a bitch. a man without a good wife will seek the company of bad women
>> akosaye [ukikosa] la mama hata la mbwa huamwa. --	if a child has no [if you lack] mother's breast to suck, even a dog's tit will do. if we cannot get the best, second best will do.
>> akuambiaye: "kula kitoweo kwa uangalifu" anataka ushibe. --	the one who says to you "eat the relish carefully" wants you to be satisfied, because it will do you good.
>> akuchukiaye hakosi ila ya kukutia. --	the person who hates you will not lack faults to put on you.
>> akufaaye kwa dhiki ndiye rafiki. --	the person who helps you in need is a friend.
>> akufaaye kwa taabu, ndiye sahibu. --	the person who helps you in need is a friend.
>> akufukuzaye hakwambii toka. --	one who chases you away does not tell you "leave." do not wait until you are told. if you are not welcome, stay away. the visitor must be careful not to overstay his welcome. if one wants to be without you, that person will not tell you: get out! one can see it from that person's behavior. it has changed. you can say: stay. you cannot say: go away.
>> akukanyagae mchana hakuambii pole usiku. --	a person who tramples you during daytime does not say "i'm sorry" at night. if a person abuses you openly, he is capable of finishing you off in secret. or, he who harms you without reason will do worse given a pretext. understood is that your enemy does not come to help in difficulty; on the contrary, he'll gloat at your misery.
>> akulengaye kisu hashindwi kuchoma. --	 the one who points a knife at you can stab you.
>> akumulikaye mchana, usiku akuchoma. --	he who shines a light on you [i.e., shows up your defects] by day, sets fire to you [destroys your reputation altogether] by night. if one praises you in your presence he will slander you in your absence.
>> akunyimaye kunde akuepusha kuvimbiwa. --	the one who denies you beans helps you to escape bloating. if somebody denies you something that could harm you, even if you would have liked it, it's for your good, because it diminishes your trouble. try to laugh about people's selfishness. kunde: small beans thought to cause gas. anikataaye kanipunguzia simanzi. the one who denies me something reduces my pain. simanzi (huzuni): pain, sorrow. don't be sorry for lack of friendship that might bring chagrin.
>> akupaye kisogo si mwenzio. --	one who turns his face away and looks somewhere else is not a friend.
>> akupaye kisogo si mwenzio. --	whoever turns the back on you is not your friend. instead of kisogo nyongo is used also.
>> akupaye mfupa kakuwazia. --	the person who gave you a bone thought about you. a small gift, a kind thought.
>> akupaye mfupa ni rafiki yako. --	the one who gave you a bone is your friend.
>> akupe ndao simdharau, akukataao msahau. --	don't despise the one who loves you, forget the one who turns you down. "advise to young lovers"
>> akupendaye mshike. --	stay with the one who loves you.
>> akupitaye kwa nguvu mwogope. --	fear the one who is stronger than you.
>> akusaidiaye shidani, ndiye kweli ni wako mwandani. --	the person who helps you in need is truly your friend.
>> akutadiye nawe mtadi. --	 do the same to someone who arrogantly insults you.
>> akutanguliaye chanoni hukuzidi tonge. --	the one who goes before you to the food platter will get a bigger piece than you. use the opportunity. chano: a big platter.
>> akutendaye mlipe. --	tenda has a simple meaning of to do, but most often it has the meaning of to do something evil to somebody.
>> akutendaye mtende. --	do harm to the one who harms you.
>> akutendaye mtende, mche asiyekutenda. --	do harm to the one who harms you, and fear the one who harms you not. a vicious proverb. if you take revenge, expect retaliations. akutendaye, mtende: simche akutendaye. a.219;. do harm to the one who harms you, do not fear who harms you. an eye for an eye. kumtenda has the special meaning of doing harm to someone; while kumtendea means doing good to someone. the same for kumfanya and kumfanyia. [do evil to--do good to.]
>> akutetaye anakuogopa. --	the one who opposes you is afraid of you.
>> akutukanaye hakuchagulii tusi. --	the one who insults you does not choose insults. not mincing words and really trying to hurt you.
>> akuumizaye ni mtu akujuaye. --	 the person who hurts you is the person who knows you.
>> akuwingaye kwake hakwambii ndokea, hukutendea vitendo ambavyo vya kukuchukia. --	one who expels you does not tell you go away, but he'll treat you unkindly.
>> akwitae amelijaza. --	one who calls you has [already] satisfied his wishes. "if someone calls you to do something profitable, you should know that that person has profited fully. a human being generally does not like to see that somebody profiteers, until he/she has enjoyed it and had enough! never reject a summons"
>> akwitao usiize, enenda kapulikize. --	when you are called do not refuse, go and listen [to what is asked of you]. pulikiza, sikia, listen.
>> akwitaye kajaza, ukikawia atapunguza. --	the one who calls you has made it full, if you delay the caller will diminish it. you'll be the loser. the caller may change his mind.
>> ala ala jirani hata akiwa baniani. --	thanks to god for the neighbor, even if he/she be a banyan. baniani, banyan. indian follower of brahma, i.e., neither a christian nor a muslim. ala ala, exclamation of surprise.
>> alacho cha mwanamke arudishacho kingine. --	who eats food of a woman gives something else in return.
>> alalamikaye kwa wingi hufanya machache. --	one who complains much does little. not only does that person do little, but also prevents others from achieving.
>> alalaye usimwamshe, ukimwasha, utalala wewe. --	do not wake up one who sleeps: if you do, you will sleep yourself. let sleeping dogs lie.
>> ala moja haikai panga mbili. --	two swords dont fit in one scabbard.
>> alaye maiti, na yake italiwa. --	one who eats a corpse will have his eaten.
>> alaye peke hufa peke yake. --	one who eats alone dies alone. the one who refuses to share blessings with others will have to endure all hardship alone.
>> aliandikalo mungu haliwezi kufutika. --	what god has written cannot be wiped out.
>> aliangukiwa na mti. --	a tree has fallen upon someone. a misfortune fell upon that person.
>> alikuwa wapi ni kujitunza. --	they who were there are taking care of themselves. minding your own business. being alert.
>> alimao ndio avunao. --	what one cultivates is what one harvests. as one works so one earns. "the one who does the action is responsible for good or evil"
>> alimaye kandoni mwa njia huonewa na maharamia. --	a farmer who cultivates near the roadside will be eyed by [highway] robbers. "if you are doing good business, hide it, for there are always the enviers."
>> alimaye mtama havuna kunde. --	one who cultivates millet does not harvest beans.
>> alimaye njiani sharti alinde ndege (or nyuni) asipate chembe. --	a person who cultivates near the road must watch that the bird gets no grain. envy and jealousy of people might spoil one's plans ". nyuni or ndege, bird. alimaye shamba chembe azipande, sharti azilinde nyuni wasipate.
>> alimaye pwani havuni. --	one who cultivates on the beach does not harvest.
>> alindaye ulimi wake, alinda nafsi yake. --	people who watch their tongue take care of [guard] their soul.
>> alioko ulimwenguni hajaisha (or hajesha) kuumbwa. --	a person who is here in the world has not yet been totally created. a person goes on learning until death. a person is being formed [createdl as long as that person lives.
>> alisifuye jua limemwangaza. --	the sun has shone on him who praises it.
>> alitoka kichele kuzimu hakuna nyota. --	he went out stark naked in broad daylight, after the sun was up and the stars had disappeared
>> alivunja jahazi kwa kitumbua. steere p.l94. --	he wrecked the ship for [the sake of] a pancake.
>> aliyeanguka mwanguko wa mende hana bao. --	one who has fallen cockroach-style has no chance. to fall that way is to fall on the back with legs up and head down. this means to fall so badly that help is needed in order to come up. kuanguka mwanguko wa mende mdani ya chupa ya mafuta. falling like a cockroach in a bottle of oil. a fall from which one cannot recover. mweleka wa mende kuanguka chali. the wrestling of the cockcroach falling on its back. mweleka wa mende chalichali: mpaka kuokotewa na mdomo wa kuku. the struggle of the cockcroach on its back: until it be picked up by the beak of a chicken.
>> aliyechomwa na mwiba huthamini kiatu. --	one who has been pricked by a thorn values shoes.
>> aliyefariki haoni dhiki. --	one who has passed away does not feel oppression. "a dead person feels no cold."
>> aliyejaliwa kajaliwa, ukimwombe akose, mungu anampa. --	even if you pray for a person that person may not get it. god gives to a person. the one who is destined will be favored. it is useless to pray for gifts. god has all destined.
>> aliyejamba, mngoje atakunya. --	beware of those who break wind, they are about to defecate. usage: if something is going to happen. someone will fall down or something will give.
>> aliye juu ni juu. --	the one who is above is above. a powerful man is out of reach.
>> aliye juu yu juu: mbwidi haliwina funo. --	the one who is above is above: a beast of prey is not eaten by the funo-antelope. mbwidi or mbwidyi for mbwa-mwitu: jackal, wild dog.
>> aliyekalia kiti cha enzi ndiye mtawala. --	the one who sits on the throne is the ruler. the one who possesses an article at the time is the owner.
>> aliye kando haangukiwi na mti. --	a tree does not fall upon someone who stands aside. do not unnecessarily expose yourself to danger, or involve yourself in quarrels.
>> aliyeko juu mngojee chini. --	wait below for the one who is above.
>> aliyekufaa ana cheo chake. --	the one who is useful to you has a title [price].
>> aliyekufa ni nani kilio kikamleta? --	whoever died [and found] that crying has brought him/her back [to life]? about useless effort.
>> aliyekula kitovu chako, hatakuachia utumbo. --	one who consumes your navel [i.e., your child] will not leave you the fruit of your belly. an allusion to death, which spares neither child nor adult.
>> aliyekula kitu cha mamba asifike kwa maji. --	the one who ate what belongs to the crocodile should stay away from the water.
>> aliyekunyoa shungi kakupunguzia kuchana. --	the one who cut your curls took away your need of combing. shungi: plait of hair, tress, crest, forlock. said when someone took something away from you that you really did not need. a person who lost something not really needed is consoled in this way.
>> aliyekupandisha simpige teke. --	do not kick the one who helped you up. "do not look down on your humble origins"
>> aliyekupa wewe kiti, mimi kaninyima kumbi. --	the one who gave you a chair, refused to give me a coconut husk.
>> aliyekupa wewe kiti ndiye aliyenipa kumbi. --	the one who gave you a chair is the same who gave me a coconut husk [to sit on]. do not despise me. i occupy the station god gave me, just as you do. kumbi: the shell that houses the coconut. often used as a stool to sit on. in the same way that townspeople use chairs, villagers use makumbi (coconut husks). in case townspeople mock the villagers, the farmers answer 'don't boast about your chairs. almighty god who gave you chairs, gave us the kumbi and god could change that. be grateful for the good things god gave us. god could give gifts to others.
>> aliyekuridhi nawe umridhi --	the one who agrees with you, agree with that person.
>> aliyekutweka ndiye atakayekutua. --	the one who put that load on you is the one who can unload you. usage: when someone is complaining about misfortune and hardship, after that person self is the cause of trouble. tweka: put a load on someone or something. tua: unload, put down.
>> aliyekuweka kitini, ndiye aliyeniweka chini. --	the one who put you on a chair, is the one who put me down. the one who put you high up in rank has put me below.
>> aliye mbali ufimbo haumfiki. --	one who is far away will not get hit by the stick. implied is that one should keep distance from people fighting.
>> aliye mbele huja nyuma. --	the one who is in front usually comes behind.
>> aliye mbele ndiye aulizwaye pindilo. --	it is the one that is first who is asked about the bent grass stalks. it is by observing in which way the grass stalks lie that one can tell in which direction a person or animal has gone.
>> aliyemfunza chui kula watu ni binadamu. --	it was a human being who taught a leopard how to eat people. "our forefathers say that the leopard wanted to eat people but did not know how to kill them until it overheard someone telling another that if the leopard was clever, it would jump on someone and prick its claws into the person's neck. this saying means that someone, through carelessness, may teach the enemy how to hurt ". chui haikujua kukamata shingo ilifundishwa. the leopard did not know how to grab the throat until it was taught.
>> aliyemnyima mwenzake nyama ya ndezi, paa akanyima nyama ya mbogo. --	to one who refused a companion meat of a rodent, the gazelle denied buffalo meat. the egoist must not expect help from others. ndezi: the name of a kind of rat. mbogo or nyati: buffalo.
>> aliyemnyima mwenzake nyama ya senji, mbuluku akamnyima nyama ya mbogo. --	to the person who denied a companion meat of the large rodent, the little antelope has refused the meat of the buffalo. help denied will turn against you.
>> aliye mwema msifie, muovu mnamalie. --	praise a good person, keep silent about a bad one.
>> aliye na hamu ya kupanda juu hukesha. --	a person who desires to rise [in society] must stay awake.
>> aliye na mwana na akanye. --	let the one who has a child reprimand it.
>> aliye na nguvu hula, dhaifu hulipa. --	the mighty feasts, the poor pays.
>> aliye na vyake - haachi. --	people who have their own things do not leave them. they will care for them.
>> aliyengoja, hawezi kuja. --	one who waits cannot come [at all]. "one of these days is none of these days."
>> aliyeoa binamu hufia vitani. --	one who marries a cousin dies in a war. judge carefully before undertaking a serious business. in marrying one becomes involved in the life of in-laws, but if one marries a member of the same family, the involvement is much greater. if it is relatively easy to divorce somebody of an outside family, it is extremely difficult to divorce someone who belongs to the same family.
>> aliyeongolewa na mungu hapotoki. --	a person saved by god is not crooked. the upright person [saved by god] cannot be made crooked by anybody else
>> aliyepanda juu akianguka huvunjika. --	if they climb high up and fall they break.
>> aliyepandisha wengine ngazini, hupigwa teke menoni. --	the one who has helped others climb the ladder, gets kicked in the teeth.
>> aliyepandisha wengine ngazini, hupigwa teke menoni. --	the one who has helped others to climb the ladder, gets kicked in the teeth.
>> aliyepata fedha hutaka kuiliza. --	the person who got money wants it to make noise.
>> aliyepeleka mkono kutamalaki si kazi. --	one who lays a hand on something finds it easy to appropriate it.
>> aliyeshiba hamkumbuki mwenye njaa. --	one who is satiated does not remember the one who is hungry.
>> aliyeshika ameshika, akiacha azuzue. --	one who holds must hang on, the one who relents will be treated like a fool.
>> aliye taabani hana uwongo. --	a person on the death bed tells no lies. a person about to die is not afraid of the consequences.
>> aliyetangulia katangulia; afuataye akazane. --	the one who is ahead is ahead; the one who follows must make an effort.
>> aliyetishwa na nyoka usiku akiona kamba hushtuka. --	someone frightened by a snake is startled at night seeing a rope.
>> aliyetota, hajui kutota. --	a person who has absolutely nothing, doesn't know what poverty means. people who have nothing at all everyday, are not so burdened by poverty as someone who lost all. aliyetota katota, hajui kutota. a different use: a drunkard does not know where he is going. repetition of tota stresses the totality of destitution. tota, sink down, be drowned.
>> aliyezaa vibaya husalimiwa na wakwe wake. --	one who is ill-born will be paid off by the in-laws. an ill-born child and badly educated is a disgrace to the parents. refers to the obligation of well educating one's children in view of a happy future.
>> aliyezoea tumbaku tambuu haiwezi. --	one who is used to tobacco is not satisfied with betel leaves.
>> aliyezoea tumbaku tambuu haiwezi. --	one who is used to tobacco is not satisfied with betel leaves. said of people who cannot change their ways.
